bk,bm,bn,iteration,time_ms,tm,tn,type,m,n,k
16,32,64,0,4.29968,8,8,4D_kernel,8192,8192,256
16,32,64,1,4.3047,8,8,4D_kernel,8192,8192,256
16,32,64,2,4.31648,8,8,4D_kernel,8192,8192,256
16,32,64,3,4.28496,8,8,4D_kernel,8192,8192,256
16,32,64,4,4.29984,8,8,4D_kernel,8192,8192,256
16,32,64,5,4.2905,8,8,4D_kernel,8192,8192,256
16,32,64,6,4.26608,8,8,4D_kernel,8192,8192,256
16,32,64,7,4.29418,8,8,4D_kernel,8192,8192,256
16,32,64,8,4.28272,8,8,4D_kernel,8192,8192,256
16,32,64,9,4.28048,8,8,4D_kernel,8192,8192,256
16,32,64,0,0.663264,8,8,4D_cublas,8192,8192,256
16,32,64,1,0.669728,8,8,4D_cublas,8192,8192,256
16,32,64,2,0.658208,8,8,4D_cublas,8192,8192,256
16,32,64,3,0.6656,8,8,4D_cublas,8192,8192,256
16,32,64,4,0.655776,8,8,4D_cublas,8192,8192,256
16,32,64,5,0.655616,8,8,4D_cublas,8192,8192,256
16,32,64,6,0.652896,8,8,4D_cublas,8192,8192,256
16,32,64,7,0.65424,8,8,4D_cublas,8192,8192,256
16,32,64,8,0.656064,8,8,4D_cublas,8192,8192,256
16,32,64,9,0.657984,8,8,4D_cublas,8192,8192,256
16,256,64,0,4.07686,8,8,4D_kernel,8192,8192,256
16,256,64,1,4.08666,8,8,4D_kernel,8192,8192,256
16,256,64,2,4.08272,8,8,4D_kernel,8192,8192,256
16,256,64,3,4.06566,8,8,4D_kernel,8192,8192,256
16,256,64,4,4.08304,8,8,4D_kernel,8192,8192,256
16,256,64,5,4.09421,8,8,4D_kernel,8192,8192,256
16,256,64,6,4.0889,8,8,4D_kernel,8192,8192,256
16,256,64,7,4.08115,8,8,4D_kernel,8192,8192,256
16,256,64,8,4.08701,8,8,4D_kernel,8192,8192,256
16,256,64,9,4.08442,8,8,4D_kernel,8192,8192,256
16,256,64,0,0.671168,8,8,4D_cublas,8192,8192,256
16,256,64,1,0.674208,8,8,4D_cublas,8192,8192,256
16,256,64,2,0.670816,8,8,4D_cublas,8192,8192,256
16,256,64,3,0.660992,8,8,4D_cublas,8192,8192,256
16,256,64,4,0.65904,8,8,4D_cublas,8192,8192,256
16,256,64,5,0.66048,8,8,4D_cublas,8192,8192,256
16,256,64,6,0.663904,8,8,4D_cublas,8192,8192,256
16,256,64,7,0.656832,8,8,4D_cublas,8192,8192,256
16,256,64,8,0.662112,8,8,4D_cublas,8192,8192,256
16,256,64,9,0.655744,8,8,4D_cublas,8192,8192,256
16,64,128,0,3.48022,8,8,4D_kernel,8192,8192,256
16,64,128,1,3.47658,8,8,4D_kernel,8192,8192,256
16,64,128,2,3.47562,8,8,4D_kernel,8192,8192,256
16,64,128,3,3.44531,8,8,4D_kernel,8192,8192,256
16,64,128,4,3.45693,8,8,4D_kernel,8192,8192,256
16,64,128,5,3.45674,8,8,4D_kernel,8192,8192,256
16,64,128,6,3.44707,8,8,4D_kernel,8192,8192,256
16,64,128,7,3.45626,8,8,4D_kernel,8192,8192,256
16,64,128,8,3.46182,8,8,4D_kernel,8192,8192,256
16,64,128,9,3.45802,8,8,4D_kernel,8192,8192,256
16,64,128,0,0.662048,8,8,4D_cublas,8192,8192,256
16,64,128,1,0.652416,8,8,4D_cublas,8192,8192,256
16,64,128,2,0.648864,8,8,4D_cublas,8192,8192,256
16,64,128,3,0.647744,8,8,4D_cublas,8192,8192,256
16,64,128,4,0.643392,8,8,4D_cublas,8192,8192,256
16,64,128,5,0.643872,8,8,4D_cublas,8192,8192,256
16,64,128,6,0.644512,8,8,4D_cublas,8192,8192,256
16,64,128,7,0.6432,8,8,4D_cublas,8192,8192,256
16,64,128,8,0.64,8,8,4D_cublas,8192,8192,256
16,64,128,9,0.64192,8,8,4D_cublas,8192,8192,256
8,64,64,0,4.13341,8,8,4D_kernel,8192,8192,256
8,64,64,1,4.12992,8,8,4D_kernel,8192,8192,256
8,64,64,2,4.13174,8,8,4D_kernel,8192,8192,256
8,64,64,3,4.14582,8,8,4D_kernel,8192,8192,256
8,64,64,4,4.13955,8,8,4D_kernel,8192,8192,256
8,64,64,5,4.12387,8,8,4D_kernel,8192,8192,256
8,64,64,6,4.12758,8,8,4D_kernel,8192,8192,256
8,64,64,7,4.12102,8,8,4D_kernel,8192,8192,256
8,64,64,8,4.15206,8,8,4D_kernel,8192,8192,256
8,64,64,9,4.1303,8,8,4D_kernel,8192,8192,256
8,64,64,0,0.6768,8,8,4D_cublas,8192,8192,256
8,64,64,1,0.67744,8,8,4D_cublas,8192,8192,256
8,64,64,2,0.6672,8,8,4D_cublas,8192,8192,256
8,64,64,3,0.660928,8,8,4D_cublas,8192,8192,256
8,64,64,4,0.662944,8,8,4D_cublas,8192,8192,256
8,64,64,5,0.660832,8,8,4D_cublas,8192,8192,256
8,64,64,6,0.664352,8,8,4D_cublas,8192,8192,256
8,64,64,7,0.658048,8,8,4D_cublas,8192,8192,256
8,64,64,8,0.65616,8,8,4D_cublas,8192,8192,256
8,64,64,9,0.657984,8,8,4D_cublas,8192,8192,256
32,32,32,0,7.63306,8,8,4D_kernel,8192,8192,256
32,32,32,1,7.61782,8,8,4D_kernel,8192,8192,256
32,32,32,2,7.64058,8,8,4D_kernel,8192,8192,256
32,32,32,3,7.60998,8,8,4D_kernel,8192,8192,256
32,32,32,4,7.61738,8,8,4D_kernel,8192,8192,256
32,32,32,5,7.62749,8,8,4D_kernel,8192,8192,256
32,32,32,6,7.62547,8,8,4D_kernel,8192,8192,256
32,32,32,7,7.64899,8,8,4D_kernel,8192,8192,256
32,32,32,8,7.63376,8,8,4D_kernel,8192,8192,256
32,32,32,9,7.62976,8,8,4D_kernel,8192,8192,256
32,32,32,0,0.675616,8,8,4D_cublas,8192,8192,256
32,32,32,1,0.673504,8,8,4D_cublas,8192,8192,256
32,32,32,2,0.665536,8,8,4D_cublas,8192,8192,256
32,32,32,3,0.660896,8,8,4D_cublas,8192,8192,256
32,32,32,4,0.659104,8,8,4D_cublas,8192,8192,256
32,32,32,5,0.656544,8,8,4D_cublas,8192,8192,256
32,32,32,6,0.651936,8,8,4D_cublas,8192,8192,256
32,32,32,7,0.657984,8,8,4D_cublas,8192,8192,256
32,32,32,8,0.656736,8,8,4D_cublas,8192,8192,256
32,32,32,9,0.658496,8,8,4D_cublas,8192,8192,256
16,128,64,0,3.92003,8,8,4D_kernel,8192,8192,256
16,128,64,1,3.9401,8,8,4D_kernel,8192,8192,256
16,128,64,2,3.94422,8,8,4D_kernel,8192,8192,256
16,128,64,3,3.92102,8,8,4D_kernel,8192,8192,256
16,128,64,4,3.91878,8,8,4D_kernel,8192,8192,256
16,128,64,5,3.9257,8,8,4D_kernel,8192,8192,256
16,128,64,6,3.92186,8,8,4D_kernel,8192,8192,256
16,128,64,7,3.92074,8,8,4D_kernel,8192,8192,256
16,128,64,8,3.92202,8,8,4D_kernel,8192,8192,256
16,128,64,9,3.91683,8,8,4D_kernel,8192,8192,256
16,128,64,0,0.659264,8,8,4D_cublas,8192,8192,256
16,128,64,1,0.649088,8,8,4D_cublas,8192,8192,256
16,128,64,2,0.6536,8,8,4D_cublas,8192,8192,256
16,128,64,3,0.649248,8,8,4D_cublas,8192,8192,256
16,128,64,4,0.648544,8,8,4D_cublas,8192,8192,256
16,128,64,5,0.642912,8,8,4D_cublas,8192,8192,256
16,128,64,6,0.647936,8,8,4D_cublas,8192,8192,256
16,128,64,7,0.643264,8,8,4D_cublas,8192,8192,256
16,128,64,8,0.642464,8,8,4D_cublas,8192,8192,256
16,128,64,9,0.637088,8,8,4D_cublas,8192,8192,256
32,128,64,0,3.84672,8,8,4D_kernel,8192,8192,256
32,128,64,1,3.83584,8,8,4D_kernel,8192,8192,256
32,128,64,2,3.84243,8,8,4D_kernel,8192,8192,256
32,128,64,3,3.87274,8,8,4D_kernel,8192,8192,256
32,128,64,4,3.86064,8,8,4D_kernel,8192,8192,256
32,128,64,5,3.8439,8,8,4D_kernel,8192,8192,256
32,128,64,6,3.8663,8,8,4D_kernel,8192,8192,256
32,128,64,7,3.85462,8,8,4D_kernel,8192,8192,256
32,128,64,8,3.85715,8,8,4D_kernel,8192,8192,256
32,128,64,9,3.86608,8,8,4D_kernel,8192,8192,256
32,128,64,0,0.66464,8,8,4D_cublas,8192,8192,256
32,128,64,1,0.671328,8,8,4D_cublas,8192,8192,256
32,128,64,2,0.659936,8,8,4D_cublas,8192,8192,256
32,128,64,3,0.662144,8,8,4D_cublas,8192,8192,256
32,128,64,4,0.659648,8,8,4D_cublas,8192,8192,256
32,128,64,5,0.654976,8,8,4D_cublas,8192,8192,256
32,128,64,6,0.651872,8,8,4D_cublas,8192,8192,256
32,128,64,7,0.653408,8,8,4D_cublas,8192,8192,256
32,128,64,8,0.650976,8,8,4D_cublas,8192,8192,256
32,128,64,9,0.655008,8,8,4D_cublas,8192,8192,256
16,64,64,0,5.35062,4,8,4D_kernel,8192,8192,256
16,64,64,1,5.35066,4,8,4D_kernel,8192,8192,256
